"","id","user_id","quality_grade","latitude","longitude","species","scientific_name"
"221",1000323,59040,"research",-41.28266782,174.8245184,"Kaka","Nestor meridionalis"
"222",1000331,59040,"research",-41.29365311,174.8037258,"Kaka","Nestor meridionalis"
"223",1000335,59040,"research",-41.30387025,174.7098125,"Kaka","Nestor meridionalis"
"224",1000336,59040,"research",-41.29188421,174.8467356,"Kaka","Nestor meridionalis"
"225",1000390,59033,"casual",-41.31552476,174.655264,"Kaka","Nestor meridionalis"
"226",1000396,59033,"casual",-41.2708475,174.652399,"Kaka","Nestor meridionalis"
"227",1000404,59033,"casual",-41.26388823,174.786029,"Kaka","Nestor meridionalis"
"228",1000436,58758,"research",-41.30495199,174.8110054,"Kaka","Nestor meridionalis septentrionalis"
"229",1000442,58758,"research",-41.31418823,174.6337757,"Kaka","Nestor meridionalis septentrionalis"
"230",1000444,58758,"research",-41.35975596,174.809277,"Kaka","Nestor meridionalis"
"231",1000641,58909,"casual",-41.21231988,174.7443429,"Kaka","Nestor meridionalis"
"232",1000643,58909,"research",-41.34967821,174.8046978,"Kaka","Nestor meridionalis"
"233",1000724,59040,"research",-41.26764243,174.6333149,"Kaka","Nestor meridionalis"
"234",1000958,59033,"casual",-41.35656838,174.7350397,"Kaka","Nestor meridionalis"
"235",1000962,59033,"casual",-41.34049737,174.71304,"Kaka","Nestor meridionalis"
"236",1001396,58909,"casual",-41.27461605,174.6817539,"Kaka","Nestor meridionalis"
"237",1001443,58909,"casual",-41.29593086,174.6468649,"Kaka","Nestor meridionalis"
"238",1001444,58909,"casual",-41.31006955,174.6442729,"Kaka","Nestor meridionalis"
"239",1001445,58909,"research",-41.2746818,174.6795733,"Kaka","Nestor meridionalis"
"240",1001461,59040,"research",-41.21727431,174.7767246,"Kaka","Nestor meridionalis"
"241",1001465,59040,"research",-41.30450661,174.8360039,"Kaka","Nestor meridionalis"
"242",1001480,59033,"casual",-41.35442834,174.7021305,"Kaka","Nestor meridionalis"
"243",1001487,58758,"research",-41.27351083,174.6958001,"Kaka","Nestor meridionalis"
"244",1001488,58758,"research",-41.34956909,174.7889911,"Kaka","Nestor meridionalis"
"245",1001489,58758,"research",-41.34400183,174.7212341,"Kaka","Nestor meridionalis"
"246",1001491,58758,"research",-41.31810358,174.8436185,"Kaka","Nestor meridionalis"
"247",1001494,58758,"research",-41.26711682,174.6551757,"Kaka","Nestor meridionalis"
"248",1001495,58758,"research",-41.26194738,174.8395982,"Kaka","Nestor meridionalis"
"249",1001624,58909,"casual",-41.25344862,174.759751,"Kaka","Nestor meridionalis"
"250",1001635,58758,"casual",-41.34126543,174.6617815,"Kaka","Nestor meridionalis"
"251",1001636,58758,"casual",-41.25842417,174.7258173,"Kaka","Nestor meridionalis"
"252",1001637,58758,"research",-41.23405107,174.8298092,"Kaka","Nestor meridionalis"
"253",1001643,58909,"research",-41.25093244,174.8047851,"Kaka","Nestor meridionalis septentrionalis"
"254",1001658,59033,"casual",-41.28771314,174.6676672,"Kaka","Nestor meridionalis"
"255",1001677,59040,"casual",-41.26107073,174.8195285,"Kaka","Nestor meridionalis"
"256",1001678,59040,"casual",-41.32434809,174.7160534,"Kaka","Nestor meridionalis"
"257",1001681,59040,"casual",-41.25576837,174.752427,"Kaka","Nestor meridionalis"
"258",1001683,59040,"casual",-41.26738438,174.8427419,"Kaka","Nestor meridionalis"
"259",1001755,59033,"casual",-41.2898706,174.8064666,"Kaka","Nestor meridionalis"
"260",1001763,58758,"research",-41.3071983,174.8095374,"Kaka","Nestor meridionalis"
"261",1001766,58758,"research",-41.25238486,174.7806095,"Kaka","Nestor meridionalis"
"262",1001768,58758,"research",-41.34048416,174.6490811,"Kaka","Nestor meridionalis"
"263",1001772,59040,"casual",-41.29842376,174.7408633,"Kaka","Nestor meridionalis"
"264",1001780,59040,"research",-41.25131785,174.6438307,"Kaka","Nestor meridionalis"
"265",1002362,59033,"research",-41.36163671,174.8078667,"Kaka","Nestor meridionalis"
"266",1002364,59033,"research",-41.35623727,174.7733875,"Kaka","Nestor meridionalis"
"267",1002387,58909,"research",-41.31961383,174.8183139,"Kaka","Nestor meridionalis"
"268",1002414,59040,"research",-41.37015527,174.7679944,"Kaka","Nestor meridionalis"
"269",1003363,59033,"research",-41.32152772,174.8398601,"Kaka","Nestor meridionalis"
"270",1003367,59033,"casual",-41.26967093,174.7494449,"Kaka","Nestor meridionalis"
"271",1003370,59033,"casual",-41.35422134,174.7720864,"Kaka","Nestor meridionalis"
"272",1003374,59033,"casual",-41.24318,174.8157252,"Kaka","Nestor meridionalis"
"273",1003379,59033,"casual",-41.29978762,174.741331,"Kaka","Nestor meridionalis"
"274",1003384,59033,"casual",-41.2599719,174.8263029,"Kaka","Nestor meridionalis"
"275",1003394,59033,"casual",-41.25987745,174.7516818,"Kaka","Nestor meridionalis"
"276",1003398,59033,"casual",-41.35988236,174.6632808,"Kaka","Nestor meridionalis"
"277",1003402,59033,"casual",-41.31410421,174.7645688,"Kaka","Nestor meridionalis"
