id,observed_on,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Blog posting <a href=""http://gath.co.nz/bhalg/pukaha"">here</a>.",,,,,,,,,,,,,,,,,
955961,9/11/12,,58096,dubh,2013-03-20 08:52:32 UTC,2015-06-21 06:58:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/955961,http://static.inaturalist.org/photos/1207846/medium.?1413282879,These have come out of Zealandia and now are a not uncommon sight further down the valley in Wilton.,1,0,FALSE,,Otari-Wilton's Bush,-41.28422928,174.8360789,234,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
958160,1/04/13,,57894,leeb-nz,2013-04-03 20:28:46 UTC,2014-10-13 20:22:19 UTC,casual,CC-BY,http://www.inaturalist.org/observations/958160,,"Three kaka flying south/southwest from the head of Houghton Valley (from the direction of Mount Albert), down the valley and towards Tapu te Ranga Island (Island bay). Appeared to turn away to the west as they approached the coast, possibly aiming to circle back along the Island Bay green belt. Calling several times - which is what alerted us to them",0,0,FALSE,,"Houghton Bay, Wellington",-41.2506966,174.8104029,,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
958287,1/04/13,,57409,alice_shanks,2013-04-06 07:17:34 UTC,2014-10-13 20:22:38 UTC,casual,,http://www.inaturalist.org/observations/958287,,,0,0,FALSE,,"Top of Mable Hill, Springs Junction ",-42.4130816,172.134385,,,,manual,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
960747,27/04/13,,57957,heni,2013-04-27 02:49:56 UTC,2014-10-18 01:17:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/960747,http://static.inaturalist.org/photos/1211690/medium.?1413291055,"A very fuzzy photo, but I only had my iPhone and it was a long way up the tree.  I was very surprised to see one here.",1,0,FALSE,,"South Head, Auckalnd",-36.41943058,174.2069764,3,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
963727,17/05/13,,57588,neil_fitzgerald,2013-05-17 01:03:30 UTC,2014-10-13 20:46:08 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/963727,,"Flying overhead toward Gordonton. Usually a few birds in this area through winter, this is the first I've seen this year.",0,0,FALSE,,gordonton,-37.64607092,175.3696189,25,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
964164,21/05/13,,57929,epitree,2013-05-23 03:25:54 UTC,2014-12-07 08:16:20 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/964164,,Early morning 6.40 am still quite dark two flying high and calling one calling from bush. They seem to commonly fly around very early in the near dark. Heard quite frequently.,0,0,FALSE,,Te Aroha Ni,-37.48087235,175.7585986,,obscured,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
